Company,Sector,Price,Changes,52-wk low,52-wk high,Volume
HDFC Bank Ltd., Bank - Private ,1446.15,-20.20 (-1.38%),1380.25,1757.50,22433877
Reliance Industries Ltd., Oil Exploration and Production ,2915.40,62.10 (2.18%),2180.00,2949.80,9826294
Tata Consultancy Services Ltd., IT Services & Consulting ,3966.30,112.15 (2.91%),3070.25,3984.40,2826510
ICICI Bank Ltd., Bank - Private ,1024.00,-1.15 (-0.11%),796.00,1059.40,14774650
Infosys Ltd., IT Services & Consulting ,1693.35,36.30 (2.19%),1185.30,1718.50,7858483
Bharti Airtel Ltd., Telecommunication - Service Provider ,1150.80,-0.40 (-0.03%),735.80,1200.65,4969983
Hindustan Unilever Ltd., Household & Personal Products ,2452.60,-21.00 (-0.85%),2365.45,2769.65,1956115
ITC Ltd., Diversified ,440.10,-2.80 (-0.63%),329.10,499.70,17156021
State Bank of India, Bank - Public ,649.65,2.00 (0.31%),499.35,660.55,27471811
Housing Development Finance Corporation Ltd., Finance - Housing ,,,2026.55,3021.10,
Larsen & Toubro Ltd., Engineering & Construction ,3376.05,-21.95 (-0.65%),2058.00,3737.90,7579802
Bajaj Finance Ltd., Finance - NBFC ,6848.30,105.00 (1.56%),5485.70,8192.00,1367508
HCL Technologies Ltd., IT Services & Consulting ,1583.75,6.35 (0.40%),1016.25,1619.60,2337374
Kotak Mahindra Bank Ltd., Bank - Private ,1822.95,0.20 (0.01%),1643.50,2064.40,5049876
Titan Company Ltd., Diamond  &  Jewellery ,3612.40,-15.05 (-0.41%),2269.60,3886.95,2320153
Adani Enterprises Ltd., Trading ,3157.45,3.95 (0.13%),1017.45,3236.95,2708695
Sun Pharmaceutical Industries Ltd., Pharmaceuticals & Drugs ,1416.65,8.70 (0.62%),922.45,1438.90,1775449
Axis Bank Ltd., Bank - Private ,1067.05,-17.20 (-1.59%),814.30,1151.85,8667415
Maruti Suzuki India Ltd., Automobile - Passenger Cars ,10655.45,17.50 (0.16%),8076.05,10932.85,814940
NTPC Ltd., Power Generation/Distribution ,332.50,10.50 (3.26%),160.30,333.70,32346639
Tata Motors Ltd., Automobile - LCVS/ HVCS ,878.75,0.25 (0.03%),400.45,900.15,13003437
Oil and Natural Gas Corporation Ltd., Oil Exploration and Production ,257.25,9.60 (3.88%),125.80,263.30,30482663
UltraTech Cement Ltd., Cement ,10098.55,176.25 (1.78%),6981.60,10526.00,334386
Asian Paints Ltd., Paints ,2936.30,6.95 (0.24%),2694.00,3568.00,1881911
Adani Green Energy Ltd., Renewables ,1674.25,8.30 (0.50%),439.10,1762.05,946215
Bajaj Finserv Ltd., Finance - Investment ,1651.50,29.25 (1.80%),1215.00,1741.00,1514648
Adani Ports and Special Economic Zone Ltd., Transport Infrastructure ,1261.45,42.60 (3.50%),395.10,1287.50,10450227
Wipro Ltd., IT Services & Consulting ,483.15,11.80 (2.50%),352.00,529.00,8148111
Avenue Supermarts Ltd., Retailing ,3784.30,-23.90 (-0.63%),3292.00,4206.00,186318
Coal India Ltd., Coal ,419.80,13.10 (3.22%),207.60,422.90,25177075
Nestle India Ltd., Consumer Food ,2481.40,13.60 (0.55%),1788.00,2769.30,754061
Power Grid Corporation of India Ltd., Power Generation/Distribution ,277.10,11.30 (4.25%),157.80,281.40,33900724
Bajaj Auto Ltd., Automobile - 2 & 3 Wheelers ,7738.20,82.45 (1.08%),3625.60,7797.50,197720
Mahindra and Mahindra Ltd., Automobile - Auto & Truck Manufacturers ,1660.75,9.60 (0.58%),1123.40,1758.00,3304158
Indian Oil Corporation Ltd., Refineries ,162.90,13.15 (8.78%),75.75,166.80,94675914
JSW Steel Ltd., Iron & Steel ,823.55,21.85 (2.73%),649.05,895.75,2871131
DLF Ltd., Construction - Residential & Commercial Complexes ,791.45,-8.60 (-1.07%),336.50,815.75,3474878
Tata Steel Ltd., Iron & Steel ,138.70,3.90 (2.89%),101.55,141.25,69296192
LTIMindtree Ltd., IT Services & Consulting ,5485.85,121.20 (2.26%),4121.00,6442.00,593677
Siemens Ltd., Electric Equipment ,4162.30,57.65 (1.40%),2891.40,4335.00,541066
Grasim Industries Ltd., Diversified ,2139.45,10.85 (0.51%),1527.05,2182.05,330557
SBI Life Insurance Company Ltd., Life & Health Insurance ,1435.45,2.70 (0.19%),1054.00,1495.35,1817169
Pidilite Industries Ltd., Diversified chemicals ,2515.35,4.90 (0.20%),2250.05,2805.00,403229
Tech Mahindra Ltd., IT Services & Consulting ,1338.10,25.60 (1.95%),981.05,1416.30,1838847
Hindalco Industries Ltd., Iron & Steel ,583.50,12.25 (2.14%),381.00,620.50,7145858
HDFC Life Insurance Company Ltd., Life & Health Insurance ,578.80,-8.30 (-1.41%),457.80,710.60,3006965
Britannia Industries Ltd., Consumer Food ,5148.85,0.25 (0.00%),4153.00,5386.05,176167
Godrej Consumer Products Ltd., Household & Personal Products ,1236.85,-17.70 (-1.41%),891.75,1314.30,1527367
Adani Energy Solutions Ltd., Power Generation/Distribution ,1052.05,-15.65 (-1.47%),631.50,1860.00,1391014
IndusInd Bank Ltd., Bank - Private ,1533.75,-7.40 (-0.48%),990.00,1694.50,3554450
Punjab National Bank, Bank - Public ,125.40,6.55 (5.51%),44.40,128.25,167566465
Ambuja Cements Ltd., Cement ,557.40,-7.65 (-1.35%),315.30,586.45,3263916
Cipla Ltd., Pharmaceuticals & Drugs ,1392.65,5.00 (0.36%),852.00,1425.00,1161705
Interglobe Aviation Ltd., Airlines ,3127.10,60.50 (1.97%),1810.65,3150.00,1104594
GAIL India Ltd., Gas Distribution ,177.90,4.20 (2.42%),91.05,180.00,41748419
TATA Consumer Products Ltd., Tea/Coffee ,1162.75,33.10 (2.93%),686.60,1190.95,1741322
Bharat Petroleum Corporation Ltd., Refineries ,558.35,49.90 (9.81%),314.05,572.40,38778041
Shree Cements Ltd., Cement ,28453.95,"-1,159.60 (-3.92%)",22605.60,30737.75,64360
Eicher Motors Ltd., Automobile - LCVS/ HVCS ,3825.55,-107.65 (-2.74%),2836.00,4200.00,872011
Vedanta Ltd., Metals - Non Ferrous ,272.55,4.05 (1.51%),208.00,338.25,9665486
Dr Reddys Laboratories Ltd., Pharmaceuticals & Drugs ,6039.50,46.35 (0.77%),4284.95,6149.40,337246
Divis Laboratories Ltd., Pharmaceuticals & Drugs ,3699.40,44.00 (1.20%),2730.00,4074.40,423758
Dabur India Ltd., Household & Personal Products ,544.65,-9.75 (-1.76%),503.65,597.10,3318354
Bajaj Holdings & Investment Ltd., Finance - NBFC ,8461.45,119.55 (1.43%),5770.00,8568.00,16462
Hero Motocorp Ltd., Automobile - 2 & 3 Wheelers ,4717.30,130.60 (2.85%),2246.00,4769.30,994506
Apollo Hospitals Enterprises Ltd., Hospital & Healthcare Services ,6320.55,32.60 (0.52%),4158.00,6428.70,239428
Torrent Pharmaceuticals Ltd., Pharmaceuticals & Drugs ,2525.65,13.15 (0.52%),1445.55,2576.00,456411
Havells India Ltd., Electric Equipment ,1341.30,26.70 (2.03%),1131.80,1472.00,1097984
United Spirits Ltd., Breweries & Distilleries ,1086.05,6.00 (0.56%),730.55,1146.00,510352
Samvardhana Motherson International Ltd.," Auto Ancillaries - Auto, Truck & Motorcycle Parts ",115.85,0.65 (0.56%),61.80,118.00,9365425
Zydus Lifesciences Ltd., Pharmaceuticals & Drugs ,761.15,1.60 (0.21%),425.70,766.95,511333
HDFC Asset Management Company  Ltd., Finance - Investment ,3566.85,-21.10 (-0.59%),1589.50,3616.60,214708
ICICI Lombard General Insurance Company Ltd., Multiline Insurance & Brokers ,1499.05,-13.30 (-0.88%),1049.05,1524.00,335712
SBI Cards & Payment Services Ltd., Finance Term Lending ,711.25,-0.70 (-0.10%),705.60,933.00,1745972
Yes Bank Ltd., Bank - Private ,23.70,-0.20 (-0.84%),14.40,26.25,164885094
ICICI Prudential Life Insurance Company Ltd., Life & Health Insurance ,506.50,-9.40 (-1.82%),380.70,615.60,2401695
Marico Ltd., Household & Personal Products ,529.50,-6.50 (-1.21%),462.70,595.00,1577128
Colgate Palmolive (India) Ltd., Household & Personal Products ,2541.75,38.35 (1.53%),1434.60,2604.05,249774
Aurobindo Pharma Ltd., Pharmaceuticals & Drugs ,1066.75,-4.05 (-0.38%),397.20,1177.10,4136167
Bosch Ltd.," Auto Ancillaries - Auto, Truck & Motorcycle Parts ",23956.75,277.05 (1.17%),16366.05,24272.70,24154
Lupin Ltd., Pharmaceuticals & Drugs ,1502.75,-10.95 (-0.72%),628.00,1521.35,582622
Berger Paints India Ltd., Paints ,569.55,4.05 (0.72%),439.29,679.75,996264
Info Edge India Ltd., Misc. Commercial Services ,5177.15,115.15 (2.27%),3308.20,5404.40,221142
NMDC Ltd., Iron & Steel ,235.55,10.15 (4.50%),92.25,237.50,38931640
Hindustan Petroleum Corporation Ltd., Refineries ,488.85,23.05 (4.95%),211.65,500.80,19090406
INDUS TOWERS Ltd., Telecommunication - Equipment ,216.15,-2.85 (-1.30%),135.80,236.00,20610570
Alkem Laboratories Ltd., Pharmaceuticals & Drugs ,4917.70,62.95 (1.30%),2980.00,5315.50,344636
MRF Ltd., Auto Ancillaries - Tyres & Rubber Products ,140941.85,"-1,535.95 (-1.08%)",81380.05,150254.15,12058
Muthoot Finance Ltd., Finance - NBFC ,1377.45,16.60 (1.22%),911.25,1537.35,488731
Procter and Gamble Hygiene and Health Care Ltd., Household & Personal Products ,16896.70,-127.65 (-0.75%),13140.10,19250.00,6950
Abbott India Ltd., Pharmaceuticals & Drugs ,28064.30,"2,177.30 (8.41%)",19900.00,28280.20,103081
United Breweries Ltd., Breweries & Distilleries ,1846.55,43.40 (2.41%),1353.50,1908.00,120945
ACC Ltd., Cement ,2499.45,-30.55 (-1.21%),1592.35,2584.00,240193
